id,miasto,kod_pocztowy,ulica,numer_domu
301,Bydgoszcz,86-971,Emily Viaduct,197
302,Katowice,37-668,Kristen Court,127
303,Poznan,37-379,Rachel Roads,104
304,Krakow,69-174,John Hills,113
305,Lodz,72-610,Leonard Valleys,51
306,Warsaw,74-555,Renee Orchard,200
307,Katowice,30-818,Hughes Burgs,199
308,Gdansk,32-961,Michael Ranch,159
309,Wroclaw,82-756,Hunter River,45
310,Poznan,24-324,Randy Extensions,180
311,Warsaw,26-638,Johnson Fall,14
312,Katowice,30-172,Sean Walk,71
313,Krakow,85-459,Ortiz Pines,69
314,Wroclaw,79-308,Rice Valleys,200
315,Warsaw,80-860,Patterson Track,193
316,Bydgoszcz,97-106,Sandra Corner,160
317,Bydgoszcz,20-623,Collins Garden,12
318,Lodz,67-969,Aaron Harbor,53
319,Warsaw,43-939,Roberson Valleys,197
320,Warsaw,61-130,Deleon Mountain,51
321,Warsaw,84-498,Nicholas Row,69
322,Katowice,34-968,Dan Prairie,44
323,Poznan,29-430,Elizabeth Rue,194
324,Katowice,61-935,Fox Park,127
325,Krakow,42-965,Eric Park,82
326,Szczecin,82-663,Young Ports,107
327,Lodz,99-642,Dunlap Stravenue,33
328,Wroclaw,66-990,Lewis Avenue,132
329,Warsaw,79-997,Lee Mission,105
330,Lodz,12-277,Jones Points,174
331,Krakow,51-467,Smith Summit,11
332,Lodz,97-604,Lauren Ferry,143
333,Bydgoszcz,80-816,Mackenzie Crescent,195
334,Bydgoszcz,74-475,Olivia Hills,174
335,Wroclaw,85-248,Kristen Villages,55
336,Katowice,79-727,Matthew Junction,173
337,Katowice,29-330,Bryan Meadows,71
338,Krakow,51-502,Margaret Port,120
339,Poznan,62-315,Elizabeth Lodge,135
340,Szczecin,97-710,Humphrey Ville,91
341,Katowice,31-681,Fuller Bridge,131
342,Katowice,48-234,Denise Estates,105
343,Bydgoszcz,41-262,Wolfe Square,96
344,Warsaw,77-569,Nathan Islands,148
345,Gdansk,69-826,Fletcher Hills,155
346,Lublin,41-754,Wheeler Squares,72
347,Krakow,41-751,Brooks Club,112
348,Warsaw,92-829,Deleon Land,111
349,Warsaw,90-331,John Route,130
350,Krakow,34-347,Hodge Coves,119
